faiss_id,spotify_id,track_name,artist
79,5U3K9TQtUmKL1G38eKOsBB,(U Can'T) Stop Our Shyne,['Scrill']
80,544cNh2wRaLb3aLy6ogSJv,Get Some Stacks Up (Bout Yo Self),['Scrill']
81,4wTxQMB3CUtCrX5HabSf4o,Money & R.E.S.P.E.C.T. (Money Talks),['Scrill']
82,7aFmF4uP5SzkcD7rxrERGu,Controversy,['Scrill']
83,31fqSCfRvONpYfL5UMiJLB,Scrill,['Scrill']
84,0nulqa84Jwg8CNbqqfnuZs,S.T.R.E.S.S.,['Scrill']
85,0gdvdfHB9CUi0OpqbrplBc,Grand Finale,['Scrill']
86,3DwvsOLxStG1oAvAS8XOUL,Scrilla Da Name (Turbulence Da Game),['Scrill']
87,4tsVrRdob3R0tNimArxhSw,Get Em Boyz - Remix,['Scrill']
88,5ANIlDCa4sgjahPhzYPF0c,Intro,['Whitny']
89,6gXgDK09BRgteuEhnbTjbm,Salvando El Tiempo,['Whitny']
90,0WI5q3OswTOjrJT2mqWxJS,Lo Invisible,['Whitny']
91,6d2ezkzYAW7ziDsQBNguKJ,El Camino,['Whitny']
92,3me1YkF6UKrxDewMElwtpe,Hip Hop Al Barrio,['Whitny']
93,6RxDX0kFHLPA0zw9rSgB9O,Espiral,['Whitny']
94,1B3Z29iiIYcwFUBVMJpW8l,Trappin 2 Get Rich,['Wyli P']
95,1QXe970YGHzVIzLH9FU4CK,Bae Just Call My Phone,['Wyli P']
96,7wIaYY3MekaqAnIrxrTo9W,Downtown Atlanta,['Wyli P']
97,6zFMh9mu1hBxIGUjFhA9bS,Get My Shine On,['Wyli P']
98,2CnUlzsNIM3dnSj46fG6cu,Poppin' Poppin',['Wyli P']
99,16cgvZACXx6g9Ry06pqhJz,Check On Me Now,['Wyli P']
100,1ik9DRGQuEDBvdNZiySvEs,She Say,['Wyli P']
101,2lSna5MpFgD4B6WeBOy7q1,Lit In Real Life,['Wyli P']
102,6OVcGOvuBffwKAczoDoS7R,Go With The Flow,['Wyli P']
103,1bpguTw1F0uWAOHxK7bp88,Swim In It,['Wyli P']
104,08nVgynR6HQYXcZHlzmdsj,Im On,['Wyli P']
105,79iMaW0aWoXv54KyKzDTWX,Wake And Bake,['Wyli P']
106,1AGMGrXgWiFfDENySqseSz,Rockstar Life,['Wyli P']
107,1m2rqFt16Ge8UOZHpBva8M,Gift Of Gab,['Wyli P']
108,5bAE5F0I6YFM86xXJuCMcO,Fuck All You,['Wyli P']
109,3SuFJpSHkoticHhacVxtHm,Biggie&2Pac,['21hari$']
110,7MBScwacnoLIVEhqYawjyF,Sun Child - Jeremy K'S Deepsea Explorer Remix,"['DeepSea', 'Jeremy K']"
111,0lTLBrHJJ3fLwhXQ13nsCM,Sun Child - Original Extended Mix,"['DeepSea', 'Jeremy K']"
112,5QHe57aoJ2QTtvGWp95iGo,Sun Child - James Teej'S Sun Spot Remix,"['DeepSea', 'Jeremy K', 'James Teej']"
113,1VnhwkvxPu1LKHuAfl7fft,Sun Child - Original Radio Edit,"['DeepSea', 'Jeremy K']"
114,4pRkt6mTI3dOWgS6GNwNee,Streetcar Haze - Original Mix,"['DeepSea', 'Jeremy K']"
115,4NPvf9IFb5fXrPgtbyE3O6,Take A Ride - Original Mix,"['DeepSea', 'Jeremy K']"
116,27y8LqaKnmfHx1LOkQMmuI,Time,['Enemo-J']
117,3LUnAIoFgSc5bkoHeQNaRC,This Is Not A Toy,['Enemo-J']
118,1cd2MpQnMfQc57U5TGlTYS,Five Percent,['Enemo-J']
119,272fLSO9aObvIe3T8Qto9A,Outro,['Enemo-J']
120,3plOj17jH3pkfr3ITuKupb,Ides Of March,['Enemo-J']
121,0a4r3Ed3lpyY6gCYapkGBw,Intro,['Enemo-J']
122,3L4kcgO2jk4dYFx8jTwsPj,Drunk Lions At The Wolf Party,['Enemo-J']
123,4qpD5RdZ5c39j0Y3fiVP7X,Erase The Lie,['Enemo-J']
124,5hSc7HpOWrEDYY2WzMOLUN,Throughout,['Enemo-J']
125,1LGXT4P2Sl8Q28thfWqEit,Majora,['Enemo-J']
126,5YoxEMV1I3SoQK2vLcynMn,Sufference,['Enemo-J']
127,0ehu6F316T9AmbwMFXHbVp,This Stops Today,['Enemo-J']
128,4aWQYY7wgLuleotGL2PgyO,Miley Virus,['Enemo-J']
129,1qn23pmgoAPNHgXMz0Hqlf,Contaminate,['Enemo-J']
130,0Lk5f5FECsY78OQaeWvDZd,Red Velvet Rope,['Fyresky']
131,3Mmdtl8gapWjbX9IDCjxzS,Teenage Fever,['Infxrno']
132,4ygm7QKpVa9xalFq2EOajW,Babypink,['Jahriia']
133,3qPXM4XdLCv6GNK7n8GoL6,잘해보고 싶어요,['Lia Kim']
134,2fEAlk8sYa7EfRGKWgQF3K,Post Do Malone,['Retin.A']
135,74e3ofzXqA1FXuXBZopxJp,You Might Know Zack,['Rule 22']
136,3h2eFJewYaC0CVZNB6nFTj,"More, Faster, Now.",['Rule 22']
137,5RxRU6jU9N6ZPP6P1JGMS1,"Love Stinks, Reality Bites",['Rule 22']
138,7IbQQLHoORMixzlbiqaikZ,Three Sheets,['Rule 22']
139,5I0ml08OWaEH05ZlhW0c4L,I Want It All,['Rule 22']
140,2zh9nxfMeL1R9Zlxai9ZxD,30 & Feeling It,['Rule 22']
141,2J7LRGNG7TLMMh03DvWAwe,Made In Anywhere But Here,['Rule 22']
142,5zrStaN9itYIKdXV74zIQF,Unenthused,['Rule 22']
143,1gNWRZDABMEhGair6cSNE9,Refill Jill,['Rule 22']
144,1j4YpWSEyTAw3z2aF3HEc8,"Aside From That Mrs. Lincoln, How Was The Play?",['Rule 22']
145,38m9Ho9kU8F8Cvhn4oS3W3,Punk Off Pleasant,['Rule 22']
146,7HkwO6GIofYkiOrQvzmC1I,Disillusions Of Grandeur,['Rule 22']
147,5MUb4m4Jv3GPbm4ddqyVW8,Way To Go,['Rule 22']
148,5n8FXZlHz8894Kgoj8O6uQ,Disbelief,['Rule 22']
149,5t0Rzpeaj8h65LI93BeFvO,Four Feet On The Ground,['Rule 22']
150,7dtVbEreHkBsqPdipQfwAv,A Bullet In The Wrong Heart [Demo],['Genocide']
151,1sGYgi8qj0rIICVsnzcmsL,Last Confusion [Demo],['Genocide']
152,5UsqfEOGG9tUeBsxHxN2iu,Black Sanctuary,['Genocide']
153,0pQeso2xmKkzLY0Fb3SwdR,Black Sanctuary [Demo],['Genocide']
154,4y4PWQb22D5VhwsPfyPmIM,Living Legend [Demo],['Genocide']
155,02BshhJMhg1zBmuD5oj8O7,Midnight (Come She Will),['Genocide']
156,6NkF6ZnYOIOwgBVaNx1CnJ,Doomsday [Demo],['Genocide']
157,7yyke3HIjTD5E35trAvr4B,Midnight (Come She Will) [Demo],['Genocide']
158,3pMKbATQNatkbmDScTz5Us,Last Confusion,['Genocide']
159,4GrbFeao987tAodOcNUcXV,Silently Falling,['Genocide']
160,0DPDXY0RcA6ofYtPJlMs4j,A Bullet In The Wrong Heart,['Genocide']
161,7AS0apVXABU2d8aTnzZkgs,Gibakurai,['Genocide']
162,1pD88ApsTMBowgTPkOIoKE,Landscape Of Life,['Genocide']
163,2NQRMnwjuuMX3Hb5agraW8,Doomsday,['Genocide']
164,37fsJYCd9sv9POZiANFfzh,Living Legend,['Genocide']
165,5KIK2XCYXsyPILnKyUPbnW,Hana Wa Ne Ni Kaeru - Funkypunky Live Version,['Hishiryo']
166,4Q8NLOn5k61OZWllEShOXT,The Alchemists - Original Mix,['Hishiryo']
167,5uk3ecOuNqwT8mEp0rylNg,Feelings - Vibetime - Original Mix,['Hishiryo']
168,02in7jagC1cmllKYgj8Hao,Desmadre Total - Original Mix,"['Hishiryo', 'Rawar']"
169,43hRBZ5FIumCDVGt3yZJdW,Blood Sin Death.... - Original Mix,['Aragami']
170,5jdqDaF3aAmiWAl4DSJ1E6,Akuma - Original Mix,"['Hishiryo', 'A.D.']"
171,2aOaoruuV7LEOQHFkfIDhC,Miyajidake Experience - Meditative Version,['Aragami']
172,0wEKmIoYsiHmzOlJnjgROT,Psykedelik Pathology - Love & Hate Rmx,['Hishiryo']
173,4RGNxbgdjYHvwUBMQTPt4w,U Don'T Think? - Original Mix,['Hishiryo']
174,6QrOSVoLya3NTGf2THNPfv,Alive With An Eclipse In The Heart - Original Mix,['Hishiryo']
175,1lI4JqBPCHFyNgJ6JJZrAd,Nakataki - Original Mix,"['Hishiryo', 'Noise Gust']"
176,5guq1AfgVylSaQqAaGP4H9,Te Pido Perdon (Cover Version),['Hits man']
177,7JnoacGxsfBTACx8sCPcBw,Turning Tables (Cover Version),['Hits man']
178,0KLURAPP2uONOYwY9VrQ3T,Where Them Girls At (Cover Version),['Hits man']
179,1cAdJBHEHkAWp5LGu72Dn7,Hair (Cover Version),['Hits man']
180,1vhVHRhOlxv8jb0XQ3M8KF,Pure Imagination (Cover Version),['Hits man']
181,4zAkkilWyujJgzbrWvBHS3,Hair (Cover Version),['Hits man']
182,3oZz8AZHZL8UJSBQ6dcgUR,How To Love (Cover Version),['Hits man']
183,4gEF8hcrVbH8Hgvc0slZ3I,Super Bass (Cover Version),['Hits man']
184,4sxWcU02i7angb1N7RICwV,Right There (Cover Version),['Hits man']
185,7FIh2gLqWdNrIgg43bMdY2,Ven Conmigo (Cover Version),['Hits man']
186,24e1cRZ37pOSzHdHQNRTbB,Where Them Girls At (Cover Version),['Hits man']
187,2y7TkGc6zkxyo1JhNbxqyz,Pause (Cover Version),['Hits man']
188,5UITnC4Uxb1RY6Sdg2Auid,Taboo (Cover Version),['Hits man']
189,6Hv3tQ1JuKDwJI4baBlLnU,Good Life (Cover Version),['Hits man']
190,46opyicgEuO8J3i2osnK3f,Last Friday Night (Cover Version),['Hits man']
191,4vX6l27VQJwLx4y1ho3Gka,Contestame El Telefono (Cover Version),['Hits man']
192,5DYxmwfaWG2S42gqq4RCny,Mean (Cover Version),['Hits man']
193,19YNR8H5zDnvAvltZgKNCz,Emotionless,['J. Cotti']
194,73a6JnuHzThsLTuDGiI4zF,Let'S Rock,['Jay Gatz']
195,2tEcg8pvTduJZl9WbjrDqg,Pumped Up Kicks Foster Little Bad Girl David Cruz Domino Jessie,['Kid Hitz']
196,3PW518TxQuDV9Xxr9HyK0w,Overdose,['Lil Kami']
197,2a3YYW8FYKQfCBYoflzWKb,The Hollow,['Lil King']
198,3TllguFa8Irf0x7FKosba2,時代 After Hours Session,['MISTAKES']
199,3gRxySHVXncnyruAVRRmgI,Toasty Marshmellow,['Toon God']
200,5vT4EFlCmWG7kbknsaPXYx,Blink (Extended),['U.V.U.K.']
201,1Ci58PixZHiuJV4keWnBmY,Kwiat Pustki,['Voidfire']
202,0CbaQ9N9CtRQhLmQVCc6sd,Ogień Pustki,['Voidfire']
